level	kind	group	se	cn_mean	nearest_gene	dist_kb
OncotreeLineage	rescued	Peripheral Nervous System	USE_14296	1.123	CHRNB4	4
OncotreeLineage	rescued	Soft Tissue	USE_36886	1.161	CDK14	150
OncotreeLineage	rescued	Myeloid	USE_13725	1.099	ATP8B4	45
OncotreeLineage	rescued	Testis	USE_25840	0.849	BCR	6
OncotreeLineage	rescued	Bone	USE_15535	0.891	CDH11	87
OncotreeLineage	rescued	Peripheral Nervous System	USE_20224	1.121	SOX11	1
OncotreeLineage	rescued	Lymphoid	USE_38820	1.12	LYN	42
OncotreeLineage	rescued	Lymphoid	USE_29799	0.979	RUFY3	20
OncotreeLineage	rescued	Lymphoid	USE_38805	1.113	XKR4	256
OncotreeLineage	rescued	Bowel	USE_32126	1.008	ZNF608	402
OncotreeLineage	rescued	Prostate	USE_34611	0.762	CDK19	57
OncotreeLineage	rescued	Lung	USE_4480	0.944	AKR1C2	17
OncotreeLineage	rescued	Lymphoid	USE_19954	0.966	SPIB	7
OncotreeLineage	rescued	Myeloid	USE_25502	1.369	RSPH1	19
OncotreeLineage	rescued	Myeloid	USE_25098	1.121	SAMSN1	32
OncotreeLineage	rescued	Lymphoid	USE_17829	1.066	RPTOR	17
OncotreeLineage	rescued	Myeloid	USE_30397	0.923	INPP4B	210
OncotreeLineage	rescued	Lymphoid	USE_20656	1.082	DTNB	108
OncotreeLineage	rescued	Lymphoid	USE_21416	1.039	DNAAF10	15
OncotreeLineage	rescued	Lymphoid	USE_12912	0.956	GALC	840
OncotreeLineage	rescued	Skin	USE_14467	1.2	RLBP1	17
OncotreeLineage	rescued	Lung	USE_15855	1.063	MEAK7	5
OncotreeLineage	rescued	Lymphoid	USE_18261	1.042	CABLES1	38
OncotreeLineage	rescued	Lymphoid	USE_11655	1.051	UBAC2	8
OncotreeLineage	rescued	Lymphoid	USE_13149	1.054	WDR25	32
OncotreeLineage	rescued	Eye	USE_17565	1.436	SLC39A11	73
OncotreeLineage	rescued	Head and Neck	USE_37922	0.949	ACTR3B	106
OncotreeLineage	rescued	Pancreas	USE_41461	0.906	ANKS6	31
OncotreeLineage	rescued	Skin	USE_3889	1.203	DUSP10	273
OncotreeLineage	rescued	Lymphoid	USE_22413	0.947	ARL5A	38
OncotreeLineage	rescued	Myeloid	USE_30698	0.941	AGA	2399
OncotreeLineage	rescued	Eye	USE_41886	1.275	GARNL3	7
OncotreeLineage	rescued	Lymphoid	USE_11556	0.983	GPC5	1079
OncotreeLineage	rescued	Lymphoid	USE_15975	0.959	BANP	58
OncotreeLineage	rescued	Lymphoid	USE_18817	1.016	MBP	67
OncotreeLineage	rescued	Peripheral Nervous System	USE_32023	1.058	CAMK4	24
OncotreeLineage	rescued	Skin	USE_39845	1.3	ANXA13	3
OncotreeLineage	rescued	Peripheral Nervous System	USE_40940	1.044	IGFBPL1	7
OncotreeLineage	rescued	Peripheral Nervous System	USE_37876	1.219	KCNH2	13
OncotreeLineage	rescued	Myeloid	USE_22770	1.065	ITGA4	40
OncotreeLineage	rescued	Peripheral Nervous System	USE_1567	0.947	ADGRL2	419
OncotreeLineage	rescued	Lymphoid	USE_5135	0.925	CHAT	11
OncotreeLineage	rescued	Peripheral Nervous System	USE_160	0.736	VAMP3	101
OncotreeLineage	rescued	Lymphoid	USE_18373	0.999	ASXL3	182
OncotreeLineage	rescued	Myeloid	USE_24190	1.146	C20orf203	6
OncotreeLineage	rescued	Myeloid	USE_35280	1.117	TULP4	5
OncotreeLineage	rescued	Lymphoid	USE_42573	0.619	ZC4H2	128
OncotreeLineage	rescued	Bone	USE_11004	0.963	TEX26	65
OncotreeLineage	rescued	Lymphoid	USE_39476	1.225	FZD6	16
OncotreeLineage	rescued	Lymphoid	USE_32027	0.997	NREP	51
