level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean	dropped
line	SUMB002	USE_12453	10	0.3556680446136518	0.0	OTX2	52		31.563	True
line	SUMB002	USE_12451	4	0.2946019534381284	0.0	OTX2	77		31.563	True
OncotreeSubtype	Medulloblastoma, NOS	USE_12458	14	0.2395309110884368	0.0	OTX2	80		31.563	True
OncotreeSubtype	Medulloblastoma, NOS	USE_12452	10	0.1746638633975069	0.0	OTX2	65		31.563	True
line	SUMB002	USE_12454	12	0.3953569811387635	0.0	OTX2	51		31.563	True
line	SUMB002	USE_12458	13	0.4009468567080038	0.0	OTX2	80		31.563	True
line	SUMB002	USE_12457	14	0.4175401415336	0.0	OTX2	0		31.563	True
OncotreeSubtype	Medulloblastoma, NOS	USE_12451	6	0.1374175122327146	0.0	OTX2	77		31.563	True
OncotreeSubtype	Medulloblastoma, NOS	USE_12453	11	0.1760496273407463	0.0	OTX2	52		31.563	True
OncotreeSubtype	Medulloblastoma, NOS	USE_12454	12	0.2100753607281219	0.0	OTX2	51		31.563	True
OncotreeSubtype	Medulloblastoma, Group 3	USE_40086	7	0.2544649816783937	0.0	MYC	861		30.826	True
OncotreeSubtype	Medulloblastoma, Group 3	USE_40027	13	0.2913642939886314	0.0	MYC	23		30.826	True
OncotreePrimaryDisease	Embryonal Tumor	USE_39992	7	0.2194259027940188	8.556157481372679e-273	POU5F1B	52		30.465	True
line	CORL311	USE_34526	2	0.3602323231166602	0.0	PRDM1	169		29.603	True
line	CORL311	USE_34522	5	0.4846695327421225	0.0	PRDM1	255		29.603	True
line	CORL311	USE_34525	10	0.5299198434789661	0.0	PRDM1	168		29.603	True
line	CORL311	USE_34527	1	0.3220360043033221	0.0	PRDM1	121		29.603	True
line	HCC1569	USE_16752	10	0.589174345951823	4.99450968095e-313	PGAP3	4		29.412	True
line	HCC827	USE_36420	15	0.5891592448102458	1.1038225794767414e-276	SEC61G	121		29.162	True
line	HCC827	USE_36419	5	0.5754756296346135	0.0	SEC61G	105		29.162	True
line	NCIH526	USE_20476	10	0.5013314987620865	0.0	MYCN	221		28.211	True
line	NCIH526	USE_20453	7	0.4829570322128452	0.0	MYCN	47		28.211	True
line	NCIH526	USE_20465	8	0.4908388759843231	0.0	MYCN	69		28.211	True
OncotreeSubtype	Medulloblastoma, Group 3	USE_39992	10	0.2744242844884274	0.0	POU5F1B	52		26.837	True
OncotreeSubtype	Stomach Adenocarcinoma	USE_40016	7	0.3597270879011299	5.00450791771283e-166	MYC	152		26.35	True
