level	group	se	gene	dist_kb	se_rank	se_fdr	gene_fdr	gene_specific	rho
OncotreeLineage	Lymphoid	USE_34438	UBE2J1	17	8	3.3946763476169048e-37	0.9003485398240321	False	0.4080379796451235
OncotreeLineage	Lymphoid	USE_13288	TMEM121	54	9	5.738561568625151e-37	0.9088476648310658	False	-0.0712062888835389
OncotreeLineage	Lymphoid	USE_37771	PRSS2	31	10	1.294231459942731e-36	0.812252453018781	False	0.37490919412504614
OncotreeLineage	Lymphoid	USE_13293	TMEM121	172	11	1.87080757854518e-35	0.9088476648310658	False	-0.07452506622327781
OncotreeLineage	Lymphoid	USE_36382	IKZF1	43	12	5.635096211746233e-35	2.6029393592795705e-10	True	0.6245777651976363
OncotreeLineage	Lymphoid	USE_13287	TMEM121	55	13	2.3820106201022556e-33	0.9088476648310658	False	-0.0712437468670574
OncotreeLineage	Lymphoid	USE_13285	TMEM121	45	14	6.344812038108942e-33	0.9088476648310658	False	0.05729599914691956
OncotreeLineage	Lymphoid	USE_13299	TMEM121	327	15	3.239718746217083e-32	0.9088476648310658	False	-0.023778595494567612
OncotreeLineage	Myeloid	USE_13442	GOLGA8Q	12	1	2.9925939914973303e-32	2.109259463622999e-11	True	0.3195850716762383
OncotreeLineage	Myeloid	USE_13476	GOLGA8N	12	2	1.362629035978921e-31	0.010744360569640872	True	0.25057677679761325
OncotreeLineage	Myeloid	USE_42580	VSIG4	29	3	4.82846002348395e-31	1.9427051607250892e-27	True	0.3429868397329434
OncotreeLineage	Myeloid	USE_13472	GOLGA8O	12	4	6.376636972659067e-31	0.0006751092759882715	True	0.28201265497826994
OncotreeLineage	Myeloid	USE_3435	PTPN7	6	5	2.295941165882083e-26	2.0728082256948294e-10	True	0.5762727636195568
OncotreeLineage	Myeloid	USE_40120	GSDMC	101	6	5.0345963454897087e-26	1.0	False	0.0659095105242024
OncotreeLineage	Myeloid	USE_31849	MEF2C	238	7	9.092995010499712e-26	0.24054563970266446	False	0.26750644333861934
OncotreeLineage	Myeloid	USE_19395	UQCRFS1	602	8	4.375888188884352e-24	0.9003485398240321	False	0.1145433369872118
OncotreeLineage	Myeloid	USE_6995	SPI1	10	9	6.2433707276186514e-24	5.318304996759099e-15	True	0.3955338227117612
