ncit_code	n_support	lineage_purity	lineage	primary_disease	subtype	oncotree_code
C7700	3	1.00	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	SOC
C7712	15	1.00	Eye	Ocular Melanoma	Uveal Melanoma	UM
C7889	2	1.00	Bowel	Small Bowel Cancer	Duodenal Adenocarcinoma	DA
C7899	1	1.00	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	BLCA
C7950	5	1.00	Breast	Invasive Breast Carcinoma	Breast Invasive Lobular Carcinoma	ILC
C7953	13	1.00	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	TLL
C7954	3	1.00	Lymphoid	Mature B-Cell Neoplasms	Burkitt Lymphoma	BL
C7955	1	1.00	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	HCC
C7956	22	1.00	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	HCC
C7961	4	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C7962	4	1.00	Myeloid	Acute Myeloid Leukemia	Acute Myeloid Leukemia	AML
C7965	2	1.00	Myeloid	Acute Myeloid Leukemia	Acute Megakaryoblastic Leukemia	AMKL
C7966	2	1.00	Bowel	Colorectal Adenocarcinoma	Mucinous Adenocarcinoma of the Colon and Rectum	MACR
C7972	3	1.00	Myeloid	Acute Myeloid Leukemia	Acute Megakaryoblastic Leukemia	AMKL
C7978	5	1.00	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	SOC
C7979	6	1.00	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Endometrioid Ovarian Cancer	EOV
C7982	2	0.50	Lung	SMARCA4-deficient undifferentiated tumor	SMARCA4-deficient undifferentiated tumor	
C8026	1	1.00	Head and Neck	Salivary Carcinoma	Adenoid Cystic Carcinoma	ACYC
C8028	1	1.00	Uterus	Endometrial Carcinoma	Uterine Clear Cell Carcinoma	UCCC
C80334	1	1.00	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1	BLLETV6RUNX1
C80342	6	1.00	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged	BLLKMT2A
C80347	4	1.00	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1	BLLTCF3PBX1
C8054	5	1.00	Thyroid	Well-Differentiated Thyroid Cancer	Follicular Thyroid Cancer	THFO
C8114	1	1.00	Ovary/Fallopian Tube	Ovarian Germ Cell Tumor	Mixed Germ Cell Tumor	OMGCT
C8173	1	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma	OCSC
C8181	1	1.00	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oropharynx Squamous Cell Carcinoma	OPHSC
