cvcl	cell_line	category	lineage	subtype	lineage_source	n_experiments	identity	data_status	cn_status	cn_from	tier	include	exclude_reason
CVCL_0632	SW 948	Cancer cell line	Bowel	Colon Adenocarcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_DP48	1833-BoM	Cancer cell line	Breast	Invasive Breast Carcinoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix	B	1	
CVCL_1074	AU565	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0179	BT-474	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	4	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1092	BT-549	Cancer cell line	Breast	Breast Invasive Carcinoma, NOS	depmap	14	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1104	CAL-120	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	13	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1106	CAL-148	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_1110	CAL-51	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	4	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1114	CAL-85-1	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1115	CAMA-1	Cancer cell line	Breast	Breast Invasive Lobular Carcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1183	DU4475	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_5499	EM-G3	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	infer (from input)	matched input	C	1	
CVCL_B7S0	FCIBC02	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	none	-	D	1	
CVCL_1245	HCC1143	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1247	HCC1187	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1249	HCC1395	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1255	HCC1569	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1256	HCC1599	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	5	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1258	HCC1806	Cancer cell line	Breast	Breast Ductal Carcinoma In Situ	depmap	4	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0290	HCC1937	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	4	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1259	HCC1954	Cancer cell line	Breast	Breast Ductal Carcinoma In Situ	depmap	5	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_3375	HCC2185	Cancer cell line	Breast	Breast Invasive Lobular Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix	B	1	
CVCL_3377	HCC3153	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	9	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix	B	1	
CVCL_1267	HCC38	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1270	HCC70	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	3	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_2067	HDQ-P1	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0332	Hs 578T	Cancer cell line	Breast	Breast Invasive Carcinoma, NOS	depmap	13	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0618	MB 157	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	15	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0031	MCF-7	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	241	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0617	MDA-MB-134-VI	Cancer cell line	Breast	Breast Invasive Lobular Carcinoma	depmap	3	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0062	MDA-MB-231	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	83	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0620	MDA-MB-361	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0623	MDA-MB-436	Cancer cell line	Breast	Breast Invasive Carcinoma, NOS	depmap	11	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
