srx	cell_class	cell	cvcl	model_id	lineage	subtype	has_cn	has_dep	qc_pass	reads	pct_mapped	pct_dup	n_peaks
SRX17010422	Blood	U-266	CVCL_0566	ACH-000626	Lymphoid	Plasma Cell Myeloma	0	0	0	22455304	0.0	6.9	0
SRX17010423	Blood	U-266	CVCL_0566	ACH-000626	Lymphoid	Plasma Cell Myeloma	0	0	0	45610033	0.0	14.4	0
SRX17024202	Lung	NCI-H2087	CVCL_1524	ACH-000841	Lung	Lung Adenocarcinoma	1	1	1	39506459	96.2	23.5	32121
SRX17024203	Lung	NCI-H2087	CVCL_1524	ACH-000841	Lung	Lung Adenocarcinoma	1	1	1	24216871	96.1	32.3	28680
SRX17024208	Lung	NCI-H2087	CVCL_1524	ACH-000841	Lung	Lung Adenocarcinoma	1	1	1	58276055	96.2	34.1	48987
SRX17024212	Lung	NCI-H2087	CVCL_1524	ACH-000841	Lung	Lung Adenocarcinoma	1	1	1	38211959	96.8	23.8	45667
SRX17024216	Lung	NCI-H2030	CVCL_1517	ACH-000521	Lung	Lung Adenocarcinoma	1	1	1	42608488	97.5	24.3	31106
SRX17033741	Blood	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia	1	1	1	75930829	93.3	37.3	39383
SRX17033742	Blood	MOLM-13	CVCL_2119	ACH-000362	Myeloid	Acute Myeloid Leukemia	1	1	1	83087103	78.0	30.8	21089
SRX17033757	Blood	HL-60	CVCL_0002	ACH-000002	Myeloid	Acute Myeloid Leukemia	0	0	1	25901336	94.4	16.1	33592
SRX17033758	Blood	HL-60	CVCL_0002	ACH-000002	Myeloid	Acute Myeloid Leukemia	0	0	1	21828129	82.8	18.7	22703
SRX17042660	Neural	DIPG4	CVCL_IT39				0	0	1	36352523	55.3	22.3	14321
SRX17042661	Neural	DIPG4	CVCL_IT39				0	0	1	33103968	72.4	12.8	18563
SRX17042664	Neural	DIPG4	CVCL_IT39				0	0	1	40348016	63.2	20.3	13206
SRX17042665	Neural	DIPG4	CVCL_IT39				0	0	1	26486080	66.9	11.5	14459
SRX17079324	Neural	Substantia Nigra					0	0	1	49862102	98.2	12.3	5387
SRX17079325	Neural	Substantia Nigra					0	0	1	39280355	98.6	21.9	1173
SRX17079326	Neural	Substantia Nigra					0	0	1	33172097	98.9	23.1	1788
SRX17079327	Neural	Substantia Nigra					0	0	0	29246099	98.9	31.7	864
SRX17079328	Neural	Substantia Nigra					0	0	1	56237689	98.6	18.7	2419
SRX17079329	Neural	Substantia Nigra					0	0	1	35235221	99.2	30.7	1393
SRX17079330	Neural	Substantia Nigra					0	0	1	32880468	96.8	18.6	23380
SRX17079331	Neural	Substantia Nigra					0	0	1	31288325	98.6	32.4	1005
SRX17079332	Neural	Substantia Nigra					0	0	1	34822025	99.0	32.8	21052
SRX17079340	Neural	Substantia Nigra					0	0	1	50512697	96.8	71.5	13394
SRX17079341	Neural	Substantia Nigra					0	0	1	59146398	95.7	24.3	33273
SRX17079342	Neural	Substantia Nigra					0	0	1	63313077	96.2	28.7	2612
SRX17079343	Neural	Substantia Nigra					0	0	1	40187649	95.8	19.9	2821
SRX17079344	Neural	Substantia Nigra					0	0	1	50892208	98.3	8.3	2137
SRX17079345	Neural	Substantia Nigra					0	0	1	75213402	95.9	24.1	44902
SRX17079346	Neural	Substantia Nigra					0	0	1	53457950	96.5	22.0	32866
SRX17079347	Neural	Substantia Nigra					0	0	1	51039218	97.5	38.6	27396
SRX17079348	Neural	Substantia Nigra					0	0	1	48411390	97.1	19.9	35581
SRX17083218	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	37820975	99.1	16.7	7453
SRX17083219	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	36578557	99.2	11.1	2618
SRX17083220	Blood	K-562	CVCL_0004	ACH-000551	Myeloid	Chronic Myeloid Leukemia, BCR-ABL1+	1	1	1	37312210	99.0	11.4	4655
SRX17116775	Epidermis	BJ					0	0	1	25820530	98.3	45.7	31095
SRX17116776	Epidermis	BJ					0	0	1	21118018	97.5	30.2	4755
SRX17119526	Pancreas	PDAC					0	0	1	18696817	85.1	5.7	3405
SRX17119527	Pancreas	PDAC					0	0	1	12077033	85.8	5.7	1598
SRX17119528	Pancreas	PDAC					0	0	1	13533767	83.8	6.1	1381
SRX17119529	Pancreas	PDAC					0	0	1	14411134	83.9	8.2	2966
SRX17119530	Pancreas	PDAC					0	0	1	19437717	85.0	7.0	5911
SRX17119531	Pancreas	PDAC					0	0	1	11645265	86.2	6.6	1086
SRX17119532	Pancreas	PDAC					0	0	1	15971506	81.8	5.7	3816
SRX17119533	Pancreas	PDAC					0	0	1	18107144	78.5	6.1	5067
SRX17122685	Others	Head and Neck Neoplasms					0	0	1	31003935	98.7	9.5	23885
SRX17122689	Others	Head and Neck Neoplasms					0	0	1	32488135	98.6	10.4	24879
SRX17122693	Others	Head and Neck Neoplasms					0	0	1	19332994	96.0	6.8	24681
SRX17122697	Others	Head and Neck Neoplasms					0	0	1	20778338	93.7	6.8	25459
SRX17122701	Others	Head and Neck Neoplasms					0	0	1	22074331	98.7	6.5	16508
SRX17122705	Others	Head and Neck Neoplasms					0	0	1	28276437	98.6	11.9	19505
SRX17122709	Others	Nasopharyngeal epithelial cells					0	0	1	23296968	97.9	4.2	11062
SRX17122713	Others	Nasopharyngeal epithelial cells					0	0	1	25277083	98.5	5.0	14844
SRX1713583	Neural	BE(2)-C	CVCL_0529				0	0	1	23810442	98.2	12.6	39103
SRX1713589	Neural	IMR-5/75	CVCL_M473				0	0	1	22497250	98.1	8.9	29073
SRX17163706	Neural	Glioblstoma stem cell					0	0	1	37307583	94.4	17.8	10799
SRX17163711	Neural	Non-stem tumor cel					0	0	1	38925151	92.6	17.2	19267
SRX17215534	Blood	SUP-M2	CVCL_2209	ACH-000226	Lymphoid	Anaplastic Large-Cell Lymphoma ALK Positive	1	1	1	50489310	98.8	9.2	51604
SRX17215536	Blood	Anaplastic large cell lymphoma					0	0	1	55411393	94.3	4.4	11303
SRX1722849	Pancreas	Pancreatic cancer					0	0	1	16468758	99.6	0.0	7220
SRX1722850	Pancreas	Pancreatic cancer					0	0	1	19321479	0.0	0.0	20083
SRX1722863	Pancreas	Pancreatic cancer					0	0	1	18297299	0.0	0.0	18653
SRX1722864	Pancreas	Pancreatic cancer					0	0	1	22027588	99.5	0.0	20687
SRX1722881	Pancreas	Pancreatic cancer					0	0	1	22225760	0.0	0.0	24221
SRX1722882	Pancreas	Pancreatic cancer					0	0	1	16286454	0.0	0.0	21701
SRX1722916	Pancreas	Pancreatic cancer					0	0	1	18954747	0.0	0.0	26728
SRX1722917	Pancreas	Pancreatic cancer					0	0	1	19108045	0.0	0.0	17330
SRX1722932	Pancreas	Pancreatic cancer					0	0	1	17453497	99.5	0.0	4724
SRX1722933	Pancreas	Pancreatic cancer					0	0	1	18678225	0.0	0.0	17718
SRX1726519	Blood	U-266	CVCL_0566	ACH-000626	Lymphoid	Plasma Cell Myeloma	0	0	1	68357881	96.3	15.8	28469
SRX17301047	Pluripotent stem cell	hESC derived chondrocytes					0	0	1	31212438	88.2	13.2	31360
SRX17301048	Pluripotent stem cell	hESC derived chondrocytes					0	0	1	18232759	83.2	12.7	3136
SRX17301049	Pluripotent stem cell	hESC derived chondrocytes					0	0	1	42373265	79.3	14.0	8713
SRX17301053	Pluripotent stem cell	hESC derived chondrocytes					0	0	1	40706219	91.4	14.0	35644
SRX17301055	Pluripotent stem cell	hESC derived neural crests					0	0	1	91431903	92.2	16.2	36997
SRX17306239	Placenta	Trophoblast stem cells					0	0	1	31938393	99.3	14.7	55215
SRX17306240	Placenta	Trophoblast stem cells					0	0	1	39823900	98.9	6.4	64353
SRX17306241	Placenta	Trophoblast stem cells					0	0	1	31107838	99.3	15.3	55297
SRX17306242	Placenta	Trophoblast stem cells					0	0	1	28223116	99.3	14.1	56156
SRX17306243	Placenta	Trophoblast stem cells					0	0	1	39548109	98.8	7.3	61935
SRX17306244	Placenta	Trophoblast stem cells					0	0	1	24167978	99.1	14.5	53234
SRX17306245	Placenta	Trophoblast stem cells					0	0	1	32663076	99.2	15.8	64687
SRX17306246	Placenta	Trophoblast stem cells					0	0	1	38197964	81.7	8.2	58106
SRX1733633	Blood	Macrophages					0	0	1	59499107	98.8	17.1	46372
SRX1733635	Blood	Macrophages					0	0	1	55950219	98.7	17.8	45060
SRX1733637	Blood	Macrophages					0	0	1	64755572	98.8	16.2	60430
SRX1733639	Blood	Macrophages					0	0	1	82935120	93.7	19.1	72121
SRX1734377	Prostate	22Rv1	CVCL_1045	ACH-000956	Prostate	Prostate Adenocarcinoma	1	1	1	36759519	98.4	11.7	43693
