srx	cell	cvcl	model_id	lineage	subtype
SRX4179937	SUIT-2	CVCL_3172	ACH-000652	Pancreas	Pancreatic Adenocarcinoma
SRX4179939	BxPC-3	CVCL_0186	ACH-000535	Pancreas	Pancreatic Adenocarcinoma
SRX4179949	BxPC-3	CVCL_0186	ACH-000535	Pancreas	Pancreatic Adenocarcinoma
SRX4179951	BxPC-3	CVCL_0186	ACH-000535	Pancreas	Pancreatic Adenocarcinoma
SRX4179953	BxPC-3	CVCL_0186	ACH-000535	Pancreas	Pancreatic Adenocarcinoma
SRX4179955	SUIT-2	CVCL_3172	ACH-000652	Pancreas	Pancreatic Adenocarcinoma
SRX4179957	SUIT-2	CVCL_3172	ACH-000652	Pancreas	Pancreatic Adenocarcinoma
SRX4210954	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210955	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210956	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210957	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210960	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210961	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210962	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210963	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210964	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210965	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210966	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210967	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4210968	786-O	CVCL_1051	ACH-000649	Kidney	Renal Clear Cell Carcinoma
SRX4279760	NALM-6	CVCL_0092	ACH-000938	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma
SRX4313207	RH-4	CVCL_5916	ACH-001765	Soft Tissue	Alveolar Rhabdomyosarcoma
SRX4313208	RH-4	CVCL_5916	ACH-001765	Soft Tissue	Alveolar Rhabdomyosarcoma
SRX4313209	RH-4	CVCL_5916	ACH-001765	Soft Tissue	Alveolar Rhabdomyosarcoma
SRX4313213	RH-30	CVCL_0041	ACH-000833	Soft Tissue	Alveolar Rhabdomyosarcoma
SRX4326265	SK-N-BE(2)	CVCL_0528	ACH-000312	Peripheral Nervous System	Neuroblastoma
SRX4326266	SK-N-BE(2)	CVCL_0528	ACH-000312	Peripheral Nervous System	Neuroblastoma
SRX4326279	KELLY	CVCL_2092	ACH-000259	Peripheral Nervous System	Neuroblastoma
SRX4326280	KELLY	CVCL_2092	ACH-000259	Peripheral Nervous System	Neuroblastoma
SRX4326281	KELLY	CVCL_2092	ACH-000259	Peripheral Nervous System	Neuroblastoma
SRX4326282	KELLY	CVCL_2092	ACH-000259	Peripheral Nervous System	Neuroblastoma
SRX4374885	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX4374886	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX4374887	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX4374888	MB 157	CVCL_0618	ACH-000621	Breast	Breast Invasive Ductal Carcinoma
SRX4374924	HCC1599	CVCL_1256	ACH-000196	Breast	Breast Invasive Ductal Carcinoma
SRX4374925	HCC1599	CVCL_1256	ACH-000196	Breast	Breast Invasive Ductal Carcinoma
SRX4374926	HCC1599	CVCL_1256	ACH-000196	Breast	Breast Invasive Ductal Carcinoma
SRX4374927	HCC1599	CVCL_1256	ACH-000196	Breast	Breast Invasive Ductal Carcinoma
SRX4374969	REC-1	CVCL_1884	ACH-000068	Lymphoid	Mantle Cell Lymphoma
SRX4374970	REC-1	CVCL_1884	ACH-000068	Lymphoid	Mantle Cell Lymphoma
SRX4374971	REC-1	CVCL_1884	ACH-000068	Lymphoid	Mantle Cell Lymphoma
SRX4374972	REC-1	CVCL_1884	ACH-000068	Lymphoid	Mantle Cell Lymphoma
SRX4393718	ME-1	CVCL_2110	ACH-000439	Myeloid	Acute Myeloid Leukemia
SRX4398448	THP-1	CVCL_0006	ACH-000146	Myeloid	Acute Myeloid Leukemia
SRX4398449	THP-1	CVCL_0006	ACH-000146	Myeloid	Acute Myeloid Leukemia
SRX4409636	HT-1080	CVCL_0317	ACH-000054	Soft Tissue	Fibrosarcoma
SRX4409637	HT-1080	CVCL_0317	ACH-000054	Soft Tissue	Fibrosarcoma
SRX4409640	HT-1080	CVCL_0317	ACH-000054	Soft Tissue	Fibrosarcoma
SRX4466282	REH	CVCL_1650	ACH-000960	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1
SRX4473698	BIN-67	CVCL_S987	ACH-001278	Ovary/Fallopian Tube	Small Cell Carcinoma of the Ovary
SRX4473702	BIN-67	CVCL_S987	ACH-001278	Ovary/Fallopian Tube	Small Cell Carcinoma of the Ovary
SRX4473704	BIN-67	CVCL_S987	ACH-001278	Ovary/Fallopian Tube	Small Cell Carcinoma of the Ovary
SRX4484992	SEM	CVCL_0095	ACH-000782	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged
SRX4484994	SEM	CVCL_0095	ACH-000782	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged
SRX448954	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX448961	DND-41	CVCL_2022	ACH-000981	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma
SRX4529836	SK-OV-3	CVCL_0532	ACH-000811	Ovary/Fallopian Tube	Serous Ovarian Cancer
SRX4529842	HEYA8	CVCL_8878	ACH-000542	Ovary/Fallopian Tube	High-Grade Serous Ovarian Cancer
SRX4564974	MCF-7	CVCL_0031	ACH-000019	Breast	Invasive Breast Carcinoma
